Ticker,Distribution per Share,Payable Date
TSLY,0.5846,11/16/2023
TSLY,0.5769,10/16/2023
TSLY,0.5849,09/18/2023
TSLY,0.8303,08/14/2023
TSLY,1.0661,07/17/2023
TSLY,0.8033,06/15/2023
TSLY,0.4402,05/15/2023
TSLY,0.8286,04/17/2023
TSLY,0.9023,03/16/2023
TSLY,0.9029,02/16/2023
NVDY,0.415,11/16/2023
NVDY,0.6771,10/16/2023
NVDY,0.9297,09/18/2023
NVDY,0.8136,08/14/2023
NVDY,0.9574,07/17/2023
NVDY,0.7463,06/15/2023
GOOY,0.3905,11/16/2023
GOOY,0.3898,10/16/2023
GOOY,0.2914,09/18/2023
APLY,0.1734,11/16/2023
APLY,0.4779,10/16/2023
APLY,0.2256,09/18/2023
APLY,0.5555,08/14/2023
APLY,0.633,07/17/2023
APLY,0.288,06/15/2023
